"ID","MonthlyIncome"
871,4260.86183122581
872,3488.36734269611
873,12384.4843028101
874,3424.36380903521
875,4602.2140107506
876,10261.2374805032
877,4967.12674379515
878,2265.62207624066
879,6016.96987818873
880,14934.421349523
881,14548.1741052582
882,4324.86536488671
883,4066.62518794365
884,3616.3744100179
885,6038.30438940903
886,3230.12716575305
887,6531.22418977538
888,4452.8724322085
889,5995.63536696843
890,3938.61812062186
891,5310.7049656194
892,5524.05007782239
893,5182.6978982976
894,4109.29421038425
895,14977.0903719636
896,6661.45729939664
897,6445.88614489418
898,11183.0735475749
899,5931.63183330754
900,3917.28360940156
901,4109.29421038425
902,6211.20652147089
903,9576.30707915412
904,4817.78516525305
905,13583.6690157458
906,2995.44754232976
907,11097.7355026937
908,4881.78869891395
909,2116.28049769857
910,1538.02265245103
911,13133.41823782
912,4367.53438732731
913,4324.86536488671
914,7903.31103477292
915,4796.45065403275
916,3701.7124548991
917,2609.20029806491
918,3637.7089212382
919,1623.36069733222
920,6384.10865353275
921,3059.45107599066
922,1474.01911879013
923,5396.04301050059
924,5760.95574354514
925,18320.8564184265
926,5803.62476598574
927,5974.30085574814
928,10775.4917920898
929,1751.36776465402
930,4988.46125501545
931,8396.23083513927
932,5974.30085574814
933,5782.29025476544
934,1969.16496145594
935,1794.03678709462
936,3187.45814331246
937,9126.05630122837
938,9512.30354549322
939,9768.31768013681
940,1623.36069733222
941,8268.22376781747
942,6317.87907757239
943,14270.8254593943
944,3123.45460965156
945,1343.78600916887
946,4066.62518794365
947,1772.70227587432
948,2651.86932050551
949,5116.46832233724
950,4668.44358671096
951,5760.95574354514
952,4817.78516525305
953,4881.78869891395
954,4109.29421038425
955,5332.0394768397
956,5204.0324095179
957,18771.1071963523
958,5974.30085574814
959,11204.4080587952
960,20207.1975750107
961,4066.62518794365
962,5310.7049656194
963,7325.05318952538
964,6810.79887793873
965,2180.28403135947
966,14955.7558607433
967,3573.70538757731
968,5888.96281086694
969,16434.5152618424
970,3637.7089212382
971,4602.2140107506
972,5995.63536696843
973,3595.03989879761
974,1794.03678709462
975,3680.3779436788
976,3080.78558721096
977,10069.2268795205
978,3853.28007574066
979,9360.73592465166
980,12019.5715697655
981,3938.61812062186
982,8140.21670049568
983,3575.93142987677
984,3637.7089212382
985,4903.12321013425
986,4988.46125501545
987,1751.36776465402
988,4495.5414546491
989,11247.0770812358
990,2545.19676440402
991,7303.71867830508
992,3680.3779436788
993,7002.80947892143
994,3339.02576415402
995,3874.61458696096
996,8889.15063550561
997,2395.85518586192
998,14870.4178158621
999,6896.13692281993
1000,1538.02265245103
1001,8633.13650086202
1002,3189.68418561192
1003,5974.30085574814
1004,10583.4811911071
1005,5632.94867622335
1006,5438.71203294119
1007,2286.95658746096
1008,5846.29378842634
1009,13412.9929259834
1010,7005.03552122089
1011,9318.06690221106
1012,6917.47143404023
1013,7453.06025684717
1014,6424.55163367388
1015,5524.05007782239
1016,4753.78163159215
1017,5760.95574354514
1018,5910.29732208724
1019,7002.80947892143
1020,1343.78600916887
1021,5204.0324095179
1022,4410.2034097679
1023,4346.19987610701
1024,13090.7492153794
1025,11204.4080587952
1026,11247.0770812358
1027,5502.71556660209
1028,3659.0434324585
1029,3187.45814331246
1030,12619.1639262334
1031,3016.78205355006
1032,5739.62123232485
1033,5588.05361148329
1034,1666.02971977282
1035,6296.54456635209
1036,1794.03678709462
1037,4151.96323282485
1038,8462.46041109963
1039,5332.0394768397
1040,6531.22418977538
1041,4023.95616550305
1042,3981.28714306246
1043,5888.96281086694
1044,9832.32121379771
1045,3595.03989879761
1046,1623.36069733222
1047,4367.53438732731
1048,6938.80594526053
1049,5095.13381111694
1050,4431.5379209882
1051,17356.3513289141
1052,4903.12321013425
1053,4753.78163159215
1054,4087.95969916395
1055,4109.29421038425
1056,4151.96323282485
1057,4109.29421038425
1058,11654.658836721
1059,10303.9065029437
1060,4087.95969916395
1061,6919.69747633969
1062,5438.71203294119
1063,8417.56534635956
1064,2715.87285416641
1065,6405.44316475305
1066,3701.7124548991
1067,10732.8227696492
1068,16714.0899500057
1069,3488.36734269611
1070,2632.76085158468
1071,3616.3744100179
1072,7474.39476806747
1073,2286.95658746096
1074,6016.96987818873
1075,3490.59338499557
1076,14548.1741052582
1077,13412.9929259834
1078,5995.63536696843
1079,5888.96281086694
1080,10197.2339468423
1081,4817.78516525305
1082,2952.77851988917
1083,1730.03325343372
1084,8374.89632391897
1085,5846.29378842634
1086,10732.8227696492
1087,4023.95616550305
1088,3874.61458696096
1089,4023.95616550305
1090,4109.29421038425
1091,4559.54498831
1092,8353.56181269867
1093,5867.62829964664
1094,4324.86536488671
1095,4151.96323282485
1096,4881.78869891395
1097,9318.06690221106
1098,4045.29067672335
1099,4988.46125501545
1100,5867.62829964664
1101,11225.7425700155
1102,4817.78516525305
1103,7325.05318952538
1104,17849.2711292805
1105,4903.12321013425
1106,5052.46478867634
1107,5588.05361148329
1108,5718.28672110455
1109,4602.2140107506
1110,3938.61812062186
1111,8374.89632391897
1112,7369.94825426544
1113,8417.56534635956
1114,9533.63805671352
1115,13048.0801929388
1116,5095.13381111694
1117,9810.98670257741
1118,6059.63890062933
1119,12320.4807691492
1120,4945.79223257485
1121,10519.4776574462
1122,14012.5852824512
1123,5995.63536696843
1124,11611.9898142804
1125,1988.27343037677
1126,1815.37129831492
1127,4173.29774404515
1128,5054.69083097581
1129,11697.3278591616
1130,3230.12716575305
1131,5502.71556660209
1132,11247.0770812358
1133,5760.95574354514
1134,2888.77498622827
1135,5974.30085574814
1136,4130.62872160455
1137,9318.06690221106
1138,5782.29025476544
1139,9296.73239099076
1140,7711.30043379023
1141,5995.63536696843
1142,5760.95574354514
1143,14012.5852824512
1144,3102.12009843126
1145,7689.96592256993
1146,4711.11260915156
1147,3959.95263184216
1148,3038.11656477036
1149,2587.86578684462
1150,6509.88967855508
1151,2888.77498622827
1152,5095.13381111694
1153,10434.139612565
1154,1623.36069733222
1155,8569.13296720112
1156,10991.0629465923
1157,3573.70538757731
1158,8353.56181269867
1159,3123.45460965156
1160,4410.2034097679
1161,3746.60751963916
1162,5846.29378842634
1163,6531.22418977538
1164,6853.46790037933
1165,5116.46832233724
1166,2030.94245281737
1167,7775.30396745112
1168,4045.29067672335
1169,4109.29421038425
1170,4881.78869891395
